Titel;Billede;Kommentar;Udlån
overskrift;Audio Interfaces;-;-
Behringer ADA 8200;ADA8200.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
cymatic audio uTrack 24;cymaticAudioUtrack24.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
IK iRig Stomp;IKiRigStomp.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
M-Audio USB Mobile PRE;MAudioMobilePre.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
PreSonus AudioBox 1818VSL;;AudioBox1818VSL.png;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Tascam US-1800;TascamUS1800.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Audio Mixers;-;-
Zoom F-Control FRC-8;ZoomF-Control.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Audio optagere;-;-
Sony PCM-D50 Recorder;PCM-D50.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SoundDevices MixPre-3;soundDevicesMixpre3.jpg;Inklusiv Anker Powerbank, Batteri-case, USB-c kabel, USBc->db USB etc.  ;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SoundDevices MixPre-6;soundDevicesMixpre6.jpg;Inklusiv Anker Powerbank, Batteri-case, USB-c kabel, USBc->db USB etc.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Tascam DR-680 8 track Recorder;TascamDR-680.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Zoom F4 Multitrack Field Recorder m Phantom power;ZoomF4Multitrack.jpg;Med egen transport taske og strømforsyning samt 2*32Gb ssd kort i, samt Zoom EXH-6 ch. 5 + 6 external input adapter og HECBOX HED-BP95D rechargeable li-on 14.4v battery system.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Zoom F6;ZoomF6.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Zoom F8n;ZoomF8n.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Zoom H3-VR Handy Recorder;zoomh3VR.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Zoom H6 Handy Recorder;zoom_h6.jpg; Med tilhørende MSH-6 + XYH-6 Stereo Mics;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;ENG udstyr;-;-
Azden FMX-42 ENG Mixer;azdenFMX.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Beyer Dynamics DT 770 PRO Headphones;beyerDynamicsDT770.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Reinhardt Soft Zep III;ReinhardtSoftZep.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Reinhardt Soft-Zep Mikrofon Windshield;ReinhardtSoftZepRain.PNG;Inklusiv regnskærm;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Rycote Semi-size Windshield;RycoteWindshield.PNG;Inklusiv Shock-absorb handle and Rainshield;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Rycote Zeppeliner w. Shock-mount absorption;RycoteZeppeliner.jpg;Til Neumann usm69i;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
RØDE Blimp m. Extension (t. NTG-8);https://cvp.com/images/products/altimage/31-07-20171501494984blimp-front-side.jpg;Med pels og adapter-kabel.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Soundman Windshield;SoundmanWind.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Forstærkere og Højtalere;-;-
AUDAC DPA616 16 kanals forstærker;AUDACDPA616.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Buttkicker Power Amp BKA 1000;ButtkickerPowerAmp.png;4A 1600 W + 2 Buttkickers;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Dynaudio BM5 mkIII;DynaudioBM5mkIII.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Focusonics Parametric Speaker;focusonicsParametric.PNG;Retningsbestemt højtaler m. separat amp.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
KRK VXT8;KRKVXT8.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
M-Audio D2 BX8;M-AudioD2BX8.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Instrumenter;-;-
Akai MPD2018;AkaiMPD2018.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Korg Kaoss Pad KP3+;KorgKaossPad.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Samson Graphite49 MIDI Keyboard;SamsonGraphite.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SOMA Pipe;SOMAPipe.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
SOMA LYRA-8 Organismic Synthesizer;SOMALYRA.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Mikrofoner;-;-
3Dio: Professional Binaural Microphone;3Dio.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
AKG C411 III;AKGC411.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Aquarian Audio Hydrophone H2a-15;aquarianAudioH2A15.jpg;Til Plug-in-Power optagere;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Aquarian Audio Hydrophone H2a-XLR-15;aquarianAudioH2AXLR15.jpg;Til Phantom-power;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Audio Technica AT825ST;AudioTechincaAT825ST.PNG;Inklusiv 5pol -> 2*3 pol stereo kabel;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Audio Technica AT835ST;AudioTechincaAT835ST.png;Inklusiv 5 pol -> 2*3 pol XLR Stereo kabel;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Audio-Technica BP4029;Audio-Technica-BP4029.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
B&K DeltaTron Accelerometer;B&KAccel.PNG;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Beyer Dynamic CK1 kugle mikrofon;;Med CV 800 base;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Beyer Dynamic CK3 Nyre mikrofon;;Med CV 800 base;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
