Navn;Beskrivelse;Billede;Enhedspris;Kategori
Blandede akrylpladerester – pr. 25 gram;Blandede akrylpladerester til lasercutteren. Vej materialet på vægten i CNC-rummet. Del vægten i gram med 25 for at finde antallet af enheder.;akryl_blandet.jpg;1;Akryl
Akrylplade 3 mm 25 × 25 cm, Rød;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_rød.png;31;Akryl
Akrylplade 3 mm 25 × 35 cm, Klar;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_klar.png;31;Akryl
Akrylplade 3 mm 25 × 37,5 cm, Klar;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_klar.png;19;Akryl
Akrylplade 3 mm 25 × 50 cm, Rød;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_rød.png;63;Akryl
Akrylplade 3 mm 37,5 × 50 cm, Rød transparent;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_rød.png;81;Akryl
Akrylplade 3 mm 25 × 37,5 cm, Rød transparent;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_rød.png;44;Akryl
Akrylplade 3 mm 37,5 × 50 cm, Orange transparent;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_orange.png;81;Akryl
Akrylplade 3 mm 37,5 × 50 cm, Gulgrøn transparent;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_gulgrøn.png;81;Akryl
Akrylplade 3 mm 25 × 37,5 cm, Gulgrøn transparent;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_gulgrøn.png;44;Akryl
Akrylplade 3 mm, 50 × 70 cm Klar;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren. Webshoppen angiver klar akryl i titlen og spejlakryl i beskrivelsen. Spørg en ansat i DD Lab om typen før brug.;akryl_klar.png;125;Akryl
Akrylplade 3 mm 37,5 × 50 cm, Spejl;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_spejl.png;94;Akryl
Akrylplade 3 mm 25 × 37,5 cm, Spejl;3 mm akrylplade. Kan benyttes i lasercutteren, men ikke i CNC-fræseren.;akryl_spejl.png;50;Akryl
Finérplade 9 mm, 41 × 60 cm Poppeltræ;Finérplade af poppeltræ. Kan benyttes i CNC-fræseren.;;94;Finér
Finérplade 4 mm, 25 × 25 cm Birketræ;Finérplade af birketræ. Kan benyttes i CNC-fræseren.;;19;Finér
